cluster	axial count	mcr count	total occurrence
GC_00009613	0	1	1
GC_00008598	1	0	1
GC_00008599	1	0	1
GC_00008590	1	0	1
GC_00008591	0	1	1
GC_00008592	1	0	1
GC_00008593	1	0	1
GC_00000745	10	7	17
GC_00008595	1	0	1
GC_00008596	1	0	1
GC_00008597	1	0	1
GC_00002268	3	1	4
GC_00002269	2	2	4
GC_00002260	0	4	4
GC_00002261	1	3	4
GC_00002262	1	3	4
GC_00002263	1	3	4
GC_00002264	3	0	4
GC_00002265	3	1	4
GC_00002266	1	3	4
GC_00002267	1	3	4
GC_00007043	0	1	1
GC_00006935	1	0	1
GC_00000744	10	7	17
GC_00003241	0	2	2
GC_00003240	2	0	2
GC_00003243	0	2	2
GC_00003242	2	0	2
GC_00003245	0	2	2
GC_00003244	0	2	2
GC_00003247	0	2	2
GC_00003246	0	2	2
GC_00003249	0	2	2
GC_00003248	2	0	2
GC_00006933	1	0	1
GC_00007630	1	0	1
GC_00007631	0	1	1
GC_00007632	0	1	1
GC_00004301	1	0	1
GC_00007633	0	1	1
GC_00004300	1	0	1
GC_00007634	0	1	1
GC_00004303	1	0	1
GC_00007635	0	1	1
GC_00004650	1	0	1
GC_00007636	0	1	1
GC_00004305	0	1	1
GC_00007637	0	1	1
GC_00004304	1	0	1
GC_00004307	0	1	1
GC_00004654	1	0	1
GC_00003433	1	1	2
GC_00004046	1	1	2
GC_00004047	2	0	2
GC_00004044	0	2	2
GC_00004045	0	2	2
GC_00004042	2	0	2
GC_00004043	2	0	2
GC_00004040	2	0	2
GC_00004041	2	0	2
GC_00004738	1	0	1
GC_00001056	4	8	12
GC_00004048	1	1	2
GC_00001057	5	5	12
GC_00009519	1	0	1
GC_00009518	1	0	1
GC_00009517	0	1	1
GC_00009516	0	1	1
GC_00009515	1	0	1
GC_00009514	1	0	1
GC_00009513	0	1	1
GC_00009512	0	1	1
GC_00009511	1	0	1
GC_00009510	1	0	1
GC_00005007	0	1	1
GC_00000929	5	8	14
GC_00000928	8	5	14
GC_00001059	4	8	12
GC_00000299	12	8	21
GC_00000298	12	9	21
GC_00000297	11	9	21
GC_00000296	13	8	21
GC_00000295	11	9	21
GC_00000294	10	9	21
GC_00000293	11	9	21
GC_00000292	11	9	21
GC_00000291	13	6	21
GC_00000290	13	7	21
GC_00002515	1	2	3
GC_00002512	0	2	3
GC_00002513	0	3	3
GC_00004470	1	0	1
GC_00002510	3	0	3
GC_00010058	1	0	1
GC_00002511	2	0	3
GC_00009604	0	1	1
GC_00010059	0	1	1
GC_00008594	0	1	1
GC_00001748	0	6	6
GC_00001749	2	3	6
GC_00001742	0	6	6
GC_00001743	3	3	6
GC_00001740	6	0	6
