cluster id	Enrichment	Category	COG
GC_00000495	0.22148488172629252	R	Secreted protein containing bacterial Ig-like domain and vWFA domain
GC_00000494	0.43728735436651395	J	"tRNA U38,U39,U40 pseudouridine synthase TruA"
GC_00000365	0.6815023850991703	J	"tRNA U34 2-thiouridine synthase MnmA/TrmU, contains the PP-loop ATPase domain"
GC_00000364	0.43728735436651395	O	Zn-dependent protease with chaperone function
GC_00000363	0.43728735436651395	E	Serine acetyltransferase
GC_00000362	0.43728735436651395	V	"8-oxo-dGTP pyrophosphatase MutT and related house-cleaning NTP pyrophosphohydrolases, NUDIX family"
GC_00000361	0.616378376903795	J	"tRNA(Leu) C34 or U34 (ribose-2'-O)-methylase TrmL, contains SPOUT domain"
GC_00000360	0.5105518635863108	R	"Predicted RNA-binding protein Jag, conains KH and R3H domains"
GC_00000240	0.5105518635863108	E	Histidinol-phosphate/aromatic aminotransferase or cobyric acid decarboxylase
GC_00000241	0.43728735436651395	E	Leucyl aminopeptidase
GC_00000242	0.5105518635863108	G	Ribose 5-phosphate isomerase RpiB
GC_00000243	0.43728735436651395	H	Glutamate-1-semialdehyde aminotransferase
GC_00000499	0.3628956988510275	H	Molybdopterin-guanine dinucleotide biosynthesis protein
GC_00000497	0.3889905975568648	J	Methylase of polypeptide chain release factors
GC_00000369	0.5105518635863108	L	Single-stranded DNA-binding protein
GC_00000368	0.43728735436651395	J	tRNA G18 (ribose-2'-O)-methylase SpoU
GC_00000496	0.43728735436651395	S	Uncharacterized membrane protein YfcA
GC_00000491	0.43728735436651395	L	Predicted endonuclease distantly related to archaeal Holliday junction resolvase
GC_00000490	0.3628956988510275	W	Type II secretory pathway ATPase GspE/PulE or T4P pilus assembly pathway ATPase PilB
GC_00000490	0.3628956988510275	U	Type II secretory pathway ATPase GspE/PulE or T4P pilus assembly pathway ATPase PilB
GC_00000490	0.3628956988510275	N	Type II secretory pathway ATPase GspE/PulE or T4P pilus assembly pathway ATPase PilB
GC_00000398	0.616378376903795	H	Ketopantoate hydroxymethyltransferase
GC_00000399	0.43728735436651395	J	"Predicted component of the ribosome quality control (RQC) complex, YloA/Tae2 family, contains fibronectin-binding (FbpA) and DUF814 domains"
GC_00000493	0.43728735436651395	E	Di- or tripeptidase
GC_00000392	0.46817511776768067	C	"FoF1-type ATP synthase, beta subunit"
GC_00000393	0.43728735436651395	H	4-hydroxybenzoate polyprenyltransferase
GC_00000390	0.5105518635863108	H	Biotin-(acetyl-CoA carboxylase) ligase
GC_00000719	0.3889905975568648	C	"Succinyl-CoA synthetase, beta subunit"
GC_00000396	0.5447419678888821	C	"Cytochrome c, mono- and diheme variants|Cytochrome c1"
GC_00000397	0.5447419678888821	J	Seryl-tRNA synthetase
GC_00000394	0.5105518635863108	C	"Na+-transporting methylmalonyl-CoA/oxaloacetate decarboxylase, beta subunit"
GC_00000395	0.5105518635863108	H	Riboflavin synthase alpha chain
GC_00000716	0.29000994729334484	S	"Uncharacterized membrane protein DedA, SNARE-associated domain"
GC_00000628	0.8130410332312842	J	Glutamyl- or glutaminyl-tRNA synthetase
GC_00000629	0.29000994729334484	J	tRNA A37 threonylcarbamoyladenosine dehydratase
GC_00000969	0.2501779364718848		
GC_00000784	0.3889905975568648	R	D-alanine-D-alanine ligase and related ATP-grasp enzymes
GC_00000784	0.3889905975568648	M	D-alanine-D-alanine ligase and related ATP-grasp enzymes
GC_00000787	0.3101643783424778	J	Ribosomal protein L32
GC_00000622	0.3628956988510275	P	"ABC-type Zn uptake system ZnuABC, Zn-binding component ZnuA"
GC_00000623	0.5447419678888821	J	"Ribosome-binding ATPase YchF, GTP1/OBG family"
