cluster_ID	pN_pS	genome_name	gene_caller	num_genomes	category	cog_function
GC_00000001		Sulfurovum_01	29856	20	C	COG2863
GC_00000001		Sulfurovum_01	29857	20	C|P	COG2863|COG3043
GC_00000001		Sulfurovum_01	38082	20	C|P	COG2863|COG3043
GC_00000001	0.19238179931821753	Sulfurovum_02	13211	20	C|P	COG2863|COG3043
GC_00000001		Sulfurovum_03	74195	20	C|P	COG2863|COG3043
GC_00000001		Sulfurovum_03	20526	20	C|P	COG2863|COG3043
GC_00000001		Sulfurovum_04	7747	20	C	COG2863
GC_00000001		Sulfurovum_04	7746	20	C|P	COG2863|COG3043
GC_00000001	0.27218934911242487	Sulfurovum_04	72896	20	C|P	COG2863|COG3043
GC_00000001		Sulfurovum_05	17696	20	C|P	COG2863|COG3043
GC_00000001		Sulfurovum_07	16093	20	C|P	COG2863|COG3043
GC_00000001		Sulfurovum_07	16358	20	C|P	COG2863|COG3043
GC_00000001		Sulfurovum_07	16359	20	C	COG2863
GC_00000001		Sulfurovum_07	47044	20		
GC_00000001		Sulfurovum_08	18606	20	C|P	COG2863|COG3043
GC_00000001	1.171455050973135	Sulfurovum_09	24336	20	C|P	COG2863|COG3043
GC_00000001		Sulfurovum_10	787	20	C	COG2863
GC_00000001		Sulfurovum_10	788	20	P|C	COG2863|COG3043
GC_00000001	0.4082840236686373	Sulfurovum_10	110	20	P|C	COG2863|COG3043
GC_00000001		Sulfurovum_11	11471	20	C|P	COG2863|COG3043
GC_00000001	0.09472422062350129	Sulfurovum_12	40906	20	C|P	COG2863|COG3043
GC_00000001		Sulfurovum_13	138286	20	C|P	COG2863|COG3043
GC_00000001	0.3476426799007446	Sulfurovum_14	19454	20	C|P	COG2863|COG3043
GC_00000001	0.2896764252696466	Sulfurovum_15	49438	20	C|P	COG2863|COG3043
GC_00000001		Sulfurovum_15	49439	20	C|P	COG2863|COG3043
GC_00000001		Sulfurovum_15	93743	20	C|P	COG2863|COG3043
GC_00000001		Sulfurovum_15	99110	20	C|P	COG2863|COG3043
GC_00000001		Sulfurovum_16	16552	20	C|P	COG2863|COG3043
GC_00000001		Sulfurovum_16	16553	20	C|P	COG2863|COG3043
GC_00000001		Sulfurovum_16	12593	20	C	COG2863
GC_00000001	0.28628495339547566	Sulfurovum_18	32144	20	C|P	COG2863|COG3043
GC_00000001		Sulfurovum_19	3729	20	P|C	COG2863|COG3043
GC_00000001		Sulfurovum_19	3728	20	P|C	COG2863|COG3043
GC_00000001		Sulfurovum_19	1569	20	C	COG2863
GC_00000001		Sulfurovum_20	8906	20	C	COG2863
GC_00000001	0.9757439007192312	Sulfurovum_20	14169	20	P|C	COG2863|COG3043
GC_00000001	0.41447368421052777	Sulfurovum_20	15883	20	C	COG2863
GC_00000001	0.3834655532359123	Sulfurovum_20	17901	20	P|C	COG2863|COG3043
GC_00000001	0.16293949952486705	Sulfurovum_21	6227	20	C|P	COG2863|COG3043
GC_00000001		Sulfurovum_22	35589	20	C|P	COG2863|COG3043
GC_00000002		Sulfurovum_01	35562	19	E|T	COG0347
GC_00000002		Sulfurovum_01	31845	19	E|T	COG0347
GC_00000002		Sulfurovum_02	9385	19	E|T	COG0347
GC_00000002		Sulfurovum_02	9387	19	E|T	COG0347
GC_00000002		Sulfurovum_03	14342	19	E|T	COG0347
GC_00000002		Sulfurovum_03	14344	19	E|T	COG0347
GC_00000002		Sulfurovum_04	27630	19	E|T	COG0347
GC_00000002		Sulfurovum_06	38334	19	E|T	COG0347
GC_00000002		Sulfurovum_06	27361	19	E|T	COG0347
GC_00000002		Sulfurovum_07	32954	19	E|T	COG0347
GC_00000002		Sulfurovum_08	4046	19	E|T	COG0347
GC_00000002		Sulfurovum_08	4044	19	E|T	COG0347
GC_00000002		Sulfurovum_10	1299	19	E|T	COG0347
GC_00000002		Sulfurovum_10	4746	19	E|T	COG0347
GC_00000002		Sulfurovum_12	74764	19	E|T	COG0347
GC_00000002	0.09203980099502491	Sulfurovum_12	19324	19	E|T	COG0347
GC_00000002		Sulfurovum_13	31836	19	E|T	COG0347
GC_00000002		Sulfurovum_13	43326	19	E|T	COG0347
GC_00000002		Sulfurovum_14	19450	19	T|E	COG0347
GC_00000002		Sulfurovum_14	23148	19	T|E	COG0347
GC_00000002		Sulfurovum_14	23150	19	T|E	COG0347
GC_00000002	0.05490683229813668	Sulfurovum_15	5607	19	T|E	COG0347
GC_00000002		Sulfurovum_15	5609	19	T|E	COG0347
GC_00000002		Sulfurovum_16	11506	19	E|T	COG0347
GC_00000002		Sulfurovum_16	69152	19	E|T	COG0347
GC_00000002		Sulfurovum_17	13830	19	E|T	COG0347
GC_00000002		Sulfurovum_17	13828	19	E|T	COG0347
GC_00000002		Sulfurovum_18	26565	19	E|T	COG0347
GC_00000002		Sulfurovum_18	26567	19	E|T	COG0347
GC_00000002		Sulfurovum_19	3755	19	T|E	COG0347
GC_00000002		Sulfurovum_19	20339	19	T|E	COG0347
GC_00000002	0.47619047619047616	Sulfurovum_20	2515	19	E|T	COG0347
GC_00000002		Sulfurovum_20	14392	19	E|T	COG0347
GC_00000002	0.034119106699751885	Sulfurovum_21	6943	19	E|T	COG0347
GC_00000002	0.0	Sulfurovum_21	6941	19	E|T	COG0347
GC_00000002		Sulfurovum_22	29637	19	E|T	COG0347
GC_00000003		Sulfurovum_01	35370	22	R	COG0714
GC_00000003		Sulfurovum_02	5048	22	R	COG0714
GC_00000003	0.0	Sulfurovum_02	39590	22	R	COG0714
